,Linked Page,Directory Page,University,Entity,Maybe Uni
Edward Cook,https://history.uchicago.edu/directory/edward-m-cook-jr,https://socialsciences.uchicago.edu/directory/edward-cook,Johns Hopkins University,"[[('Johns Hopkins University', 'ORG')]]",Johns Hopkins University
John E. Craig,No Link,https://socialsciences.uchicago.edu/directory/john-e-craig,Johns Hopkins University,"[[('Johns Hopkins University', 'ORG')]]",Johns Hopkins University
Wendy Doniger,https://socialthought.uchicago.edu/directory/wendy-doniger,https://socialsciences.uchicago.edu/directory/wendy-doniger,Still Working on This,[[]],University of California
Leora Auslander,https://history.uchicago.edu/directory/leora-auslander,https://socialsciences.uchicago.edu/directory/leora-auslander,Brown University,"[[('Brown University', 'ORG')]]",Brown University
Edward Awh,https://psychology.uchicago.edu/directory/edward-s-awh,https://socialsciences.uchicago.edu/directory/edward-awh,Still Working on This,[[]],University of California
Stephane Bonhomme,https://economics.uchicago.edu/directory/st%C3%A9phane-bonhomme,https://socialsciences.uchicago.edu/directory/stephane-bonhomme,University of Paris,"[[('University of Paris', 'ORG')]]",University of Paris
John W. Boyer,https://history.uchicago.edu/directory/john-w-boyer,https://socialsciences.uchicago.edu/directory/john-w-boyer,University of Chicago,"[[('University of Chicago', 'ORG')]]",University of Chicago
Julie Y. Chu,https://anthropology.uchicago.edu/people/faculty/julie-chu,https://socialsciences.uchicago.edu/directory/julie-y-chu,New York University,"[[('New York University', 'ORG')]]",New York University
Molly Cunningham,https://chicago.academia.edu/MollyKCunningham,https://socialsciences.uchicago.edu/directory/molly-cunningham,Still Working on This,[[]],University of California
Natalja Czarnecki,https://voices.uchicago.edu/nataljaczarnecki/,https://socialsciences.uchicago.edu/directory/natalja-czarnecki,"Natalja Czarnecki received her PhD in Anthropology from the University of Chicago in August, 2020. She is a sociocultural anthropologist specializing in processes of EU reform and border making in post-socialist contexts (Poland and Georgia). Her work is concerned with the politics of gender, the making of moral authority, public forms of trust, and the politicization of safety. Her current book project, an ethnography of public trust through the lens of regulatory authority and reform in post-Soviet Tbilisi, Georgia, focuses on everyday interactions between institutions that comprise “food safety reform” – a state bureaucracy, official and unofficial food markets, and practices of food consumers themselves. ","[[('PhD', 'WORK_OF_ART'), ('the University of Chicago', 'ORG'), ('August, 2020', 'DATE')], [('EU', 'ORG'), ('Poland', 'GPE'), ('Georgia', 'GPE')], [], [('post-Soviet', 'NORP'), ('Tbilisi', 'GPE'), ('Georgia', 'GPE')]]",EU
Suchismita Das,https://anthropology.uchicago.edu/people/affiliates,https://socialsciences.uchicago.edu/directory/suchismita-das,"(PhD, New York University, 2018; Collegiate Assistant Professor, Social Sciences) sociocultural anthropology; socialism and capitalism; Islam; materiality and semiotics; Former Soviet Union; Central Asia; Tajikistan.","[[('PhD', 'WORK_OF_ART'), ('New York University', 'ORG'), ('2018', 'DATE'), ('Social Sciences', 'ORG'), ('Islam', 'ORG'), ('Soviet Union', 'GPE'), ('Central Asia', 'LOC'), ('Tajikistan', 'GPE')]]",Islam
Shannon Dawdy,https://anthropology.uchicago.edu/people/faculty/shannon-lee-dawdy,https://socialsciences.uchicago.edu/directory/shannon-dawdy,"PhD, University of Michigan, 2003 (Anthropology and History)","[[('PhD, University of Michigan', 'ORG'), ('2003', 'DATE')]]","PhD, University of Michigan"
Michael Dietler,https://anthropology.uchicago.edu/people/faculty/michael-dietler,https://socialsciences.uchicago.edu/directory/michael-dietler,UC Berkeley,[[]],University of California
Michael A. Fisch,https://anthropology.uchicago.edu/people/faculty/michael-fisch,https://socialsciences.uchicago.edu/directory/michael-fisch,Columbia University,"[[('Columbia University', 'ORG')]]",Columbia University
Ashley Drake,https://chicago.academia.edu/AshleyDrake,https://socialsciences.uchicago.edu/directory/ashley-drake,"Ashley Elizabeth Drake received herPhD in Comparative Human Development from the University of Chicago in 2020. Drake is a cultural and medical anthropologist with research interests in human-animal interaction, science and technology studies, and military studies. Her current book projectexplores how the U.S. Military develops and deploys human-animal affective relationships as biotechnological equipment in combat zones, particularly through the use of dog-handler detection teams.","[[('Ashley Elizabeth Drake', 'PERSON'), ('herPhD', 'CARDINAL'), ('the University of Chicago', 'ORG'), ('2020', 'DATE')], [], [('U.S.', 'GPE')]]",the University of Chicago
Terra Edwards,No Link,https://socialsciences.uchicago.edu/directory/terra-edwards,"Ashley Elizabeth Drake received herPhD in Comparative Human Development from the University of Chicago in 2020. Drake is a cultural and medical anthropologist with research interests in human-animal interaction, science and technology studies, and military studies. Her current book projectexplores how the U.S. Military develops and deploys human-animal affective relationships as biotechnological equipment in combat zones, particularly through the use of dog-handler detection teams.","[[('Ashley Elizabeth Drake', 'PERSON'), ('herPhD', 'CARDINAL'), ('the University of Chicago', 'ORG'), ('2020', 'DATE')], [], [('U.S.', 'GPE')]]",the University of Chicago
Michele Friedner,https://humdev.uchicago.edu/directory/michele-friedner,https://socialsciences.uchicago.edu/directory/michele-friedner,"2018    “Cross-Disability” in India? On the limits of Disability as a Category and Negotiating Impairments. With Nandini Ghosh and Deepa Palanniapan. South Asia Multidisciplinary Academic Journal (SAMAJ). Free-Standing Articles, Online since 19 April 2018, connection on 20 April 2018. http://journals.openedition.org/samaj/4516","[[('2018', 'DATE')], [('India', 'GPE')], [], [('Nandini Ghosh', 'PERSON'), ('Deepa Palanniapan', 'PERSON')], [], [('19 April 2018', 'DATE'), ('20 April 2018', 'DATE')], []]",University of California
Guanglei Hong,https://humdev.uchicago.edu/directory/guanglei-hong,https://socialsciences.uchicago.edu/directory/guanglei-hong,"Guanglei Hong obtained a Master's degree in Applied Statistics and a Ph.D. in Education from the University of Michigan in 2004. She is the Inaugural Chair of the University-wide Committee on Quantitative Methods in Social, Behavioral, and Health Sciences (https://voices.uchicago.edu/qrmeth/) and a member of the Committee on Education (https://voices.uchicago.edu/coed/) at the University of Chicago. Before joining the University of Chicago faculty in July 2009, she had been an Assistant Professor in the Human Development and Applied Psychology Department in the Ontario Institute for Studies in Education of the University of Toronto (OISE/UT).","[[('Guanglei Hong', 'PERSON'), ('Applied Statistics', 'ORG'), ('Ph.D.', 'WORK_OF_ART'), ('the University of Michigan', 'ORG'), ('2004', 'DATE')], [('the University-wide Committee on Quantitative Methods', 'ORG'), ('Social', 'GPE'), ('Health Sciences', 'ORG'), ('the Committee on Education', 'ORG'), ('the University of Chicago', 'ORG')], [('the University of Chicago', 'ORG'), ('July 2009', 'DATE'), ('the Human Development and Applied Psychology Department', 'ORG'), ('the Ontario Institute for Studies', 'ORG'), ('the University of Toronto', 'ORG'), ('OISE/UT', 'ORG')]]",OISE/UT
Micere Keels,https://humdev.uchicago.edu/directory/micere-keels,https://socialsciences.uchicago.edu/directory/micere-keels,Still Working on This,[[]],University of California
Dario Maestripieri,https://humdev.uchicago.edu/directory/dario-maestripieri,https://socialsciences.uchicago.edu/directory/dario-maestripieri,Still Working on This,[[]],University of California
Tasneem Mandviwala,https://humdev.uchicago.edu/directory/tasneem-mandviwala,https://socialsciences.uchicago.edu/directory/tasneem-mandviwala,Still Working on This,[[]],University of California
Leonardo Bursztyn,https://economics.uchicago.edu/directory/leonardo-bursztyn,https://socialsciences.uchicago.edu/directory/leonardo-bursztyn,Harvard University,"[[('Harvard University', 'ORG')]]",Harvard University
Manasi Deshpande,https://economics.uchicago.edu/directory/manasi-deshpande,https://socialsciences.uchicago.edu/directory/manasi-deshpande,Massachusetts Institute of Technology,"[[('Massachusetts Institute of Technology', 'ORG')]]",Massachusetts Institute of Technology
Michael Dinerstein,https://economics.uchicago.edu/directory/michael-dinerstein,https://socialsciences.uchicago.edu/directory/michael-dinerstein,Stanford University,"[[('Stanford University', 'ORG')]]",Stanford University
David W. Galenson,https://economics.uchicago.edu/directory/david-galenson,https://socialsciences.uchicago.edu/directory/david-w-galenson,Harvard University,"[[('Harvard University', 'ORG')]]",Harvard University
Mikhail Golosov,https://economics.uchicago.edu/directory/mikhail-golosov,https://socialsciences.uchicago.edu/directory/mikhail-golosov,University of Minnesota,"[[('University of Minnesota', 'ORG')]]",University of Minnesota
Michael Greenstone,https://economics.uchicago.edu/directory/michael-greenstone,https://socialsciences.uchicago.edu/directory/michael-greenstone,Princeton University,"[[('Princeton University', 'ORG')]]",Princeton University
John J. Brehm,https://political-science.uchicago.edu/directory/john-brehm,https://socialsciences.uchicago.edu/directory/john-j-brehm,D Michigan,"[[('Michigan', 'GPE')]]",University of California
Cathy Cohen,https://political-science.uchicago.edu/directory/cathy-cohen,https://socialsciences.uchicago.edu/directory/cathy-cohen,D Michigan,"[[('Michigan', 'GPE')]]",University of California
Chiara Cordelli,https://political-science.uchicago.edu/directory/chiara-cordelli,https://socialsciences.uchicago.edu/directory/chiara-cordelli,"Cordelli earned her BA in philosophy from the University of Rome “La Sapienza,” where she studied aesthetics, critical theory, and the history of political thought. During her MA at University College London, she became interested in analytic philosophy. She earned her PhD in political philosophy from UCL in 2011. Before joining Chicago in 2015, she was a postdoctoral scholar at Stanford University (2011-2013) and a tenure-track assistant professor at the University of Exeter, UK (2013-2015). She held visiting positions at the Kluge Center at the Library of Congress in D.C. (2009-2010), the Center for Human Values at Princeton (2014-2015), the Center for Advanced Study in the Behavioral Sciences at Stanford (2012-2013), the Safra Center for Ethics at Harvard (2017-2018) and the LIER center at EHESS in Paris (2021-2022).","[[('Cordelli', 'ORG'), ('the University of Rome', 'ORG')], [], [('University College London', 'ORG')], [('PhD', 'WORK_OF_ART'), ('UCL', 'ORG'), ('2011', 'DATE')], [('Chicago', 'GPE'), ('2015', 'DATE'), ('Stanford University', 'ORG'), ('2011-2013', 'DATE'), ('the University of Exeter', 'ORG'), ('UK', 'GPE'), ('2013-2015', 'DATE')], [('the Kluge Center', 'FAC'), ('Congress', 'ORG'), ('D.C.', 'GPE'), ('2009-2010', 'DATE'), ('the Center for Human Values', 'ORG'), ('Princeton', 'GPE'), ('2014-2015', 'DATE'), ('the Center for Advanced Study in the Behavioral Sciences', 'ORG'), ('Stanford', 'ORG'), ('2012-2013', 'DATE'), ('the Safra Center for Ethics', 'ORG'), ('Harvard', 'ORG'), ('2017-2018', 'DATE'), ('LIER', 'ORG'), ('EHESS', 'ORG'), ('Paris', 'GPE'), ('2021-2022', 'DATE')]]",EHESS
Michael C. Dawson,https://political-science.uchicago.edu/directory/michael-dawson,https://socialsciences.uchicago.edu/directory/michael-c-dawson,Arthur Professor of Political,"[[('Arthur', 'PERSON')]]",University of California
Mark Deming,http://www.markdeming.net/,https://socialsciences.uchicago.edu/directory/mark-deming,"I received my PhD from the University of Chicago’s Political Science Department in August 2020. Prior to my PhD studies, I completed an MA in International Relations at the University of Chicago’s Committee on International Relations.","[[('PhD', 'WORK_OF_ART'), ('the University of Chicago', 'ORG'), ('Political Science Department', 'ORG'), ('August 2020', 'DATE')], [('PhD', 'ORG'), ('MA in', 'ORG'), ('International Relations', 'ORG'), ('the University of Chicago’s Committee on International Relations', 'ORG')]]",the University of Chicago’s Committee on International Relations
Andrew Eggers,https://political-science.uchicago.edu/directory/andrew-eggers,https://socialsciences.uchicago.edu/directory/andrew-eggers,D Harvard,"[[('Harvard', 'ORG')]]",Harvard
Jean Decety,https://psychology.uchicago.edu/directory/jean-decety,https://socialsciences.uchicago.edu/directory/jean-decety,"Professor Decety received a Ph.D. in Neuroscience from the University Claude Bernard (France), and then completed a two-year postdoctoral fellowship in Sweden, at Lund University Hospital and at the Karolinska Hospital in Stockholm in the Departments of Clinical Neurophysiology and Neuroradiology.","[[('Decety', 'PERSON'), ('Ph.D.', 'WORK_OF_ART'), ('Neuroscience', 'ORG'), ('the University Claude Bernard', 'ORG'), ('France', 'GPE'), ('two-year', 'DATE'), ('Sweden', 'GPE'), ('Lund University Hospital', 'ORG'), ('the Karolinska Hospital', 'FAC'), ('Stockholm', 'GPE')]]",Lund University Hospital
David  Gallo,https://psychology.uchicago.edu/directory/david-gallo,https://socialsciences.uchicago.edu/directory/david-gallo,"David A. Gallo joined the faculty of the University of Chicago in 2005. He received his B.A. from Wesleyan University in 1997, his Ph.D. from Washington University in St. Louis in 2002, and was an NIH-sponsored postdoctoral fellow at Harvard University until 2005. He researches the basic neurocognitive processes of human memory, how we actively (and sometimes inaccurately) reconstruct the past, and how healthy aging and Alzheimer’s disease affect these processes. For more detailed information, visit the Memory Lab Webpage (http://memorylab.uchicago.edu).","[[('David A. Gallo', 'PERSON'), ('the University of Chicago', 'ORG'), ('2005', 'DATE')], [('B.A.', 'GPE'), ('Wesleyan University', 'ORG'), ('1997', 'DATE'), ('Ph.D.', 'WORK_OF_ART'), ('Washington University', 'ORG'), ('St. Louis', 'GPE'), ('2002', 'DATE'), ('NIH', 'ORG'), ('Harvard University', 'ORG'), ('2005', 'DATE')], [], []]",Harvard University
Susan Goldin-Meadow,https://psychology.uchicago.edu/directory/susan-goldin-meadow,https://socialsciences.uchicago.edu/directory/susan-goldin-meadow,"Susan Goldin-Meadow is the Beardsley Ruml Distinguished Service Professor in the Department of Psychology and Committee on Human Development at the University of Chicago. A year spent at the Piagetian Institute in Geneva while an undergraduate at Smith College piqued her interest in the relationship between language and thought, interests she continued to pursue in her doctoral work at the University of Pennsylvania (Ph.D. 1975). At Penn and in collaboration with Lila Gleitman and Heidi Feldman, she began her studies exploring whether children who lack a (usable) model for language can nevertheless create a language with their hands. She has found that deaf children whose profound hearing losses prevent them from learning the speech than surrounds them, and whose hearing parents have not exposed them to sign, invent gesture systems which are structured in language-like ways. This interest in how the manual modality can serve the needs of communication and thinking led to her current work on the gestures that accompany speech in hearing individuals. She has found that gesture can convey substantive information – information that is often not expressed in the speech it accompanies. Gesture can thus reveal secrets of the mind to those who pay attention.","[[('Susan Goldin-Meadow', 'PERSON'), ('the Beardsley Ruml Distinguished Service', 'FAC'), ('the Department of Psychology and Committee on Human Development', 'ORG'), ('the University of Chicago', 'ORG')], [('A year', 'DATE'), ('the Piagetian Institute', 'ORG'), ('Geneva', 'GPE'), ('Smith College', 'ORG'), ('the University of Pennsylvania (', 'ORG'), ('1975', 'DATE')], [('Penn', 'PERSON'), ('Lila Gleitman', 'PERSON'), ('Heidi Feldman', 'PERSON')], [], [], [], []]",the University of Pennsylvania (
Leslie Kay,https://psychology.uchicago.edu/directory/leslie-m-kay,https://socialsciences.uchicago.edu/directory/leslie-kay,"I received my BA in Liberal Arts from St. John's College in Santa Fe, New Mexico and then worked for the original GenBank project at Los Alamos National Laboratory from 1982-85. I worked as a programmer/analyst in business applications for a number of years in the mid- to late eighties, and then returned to graduate school at UC Berkeley. I did my dissertation research in the laboratory of Walter J. Freeman, and received my PhD in Biophysics in 1995. I did my postdoctoral research in the laboratory of Gilles Laurent at the California Institute of Technology, where I studied olfactory bulb mitral cell responses to changes in odor context. I have been at The University of Chicago since 2000, and my laboratory studies olfactory and limbic system neurophysiology, focusing on the mechanisms and functions associated with intra- and inter-regional oscillatory cooperativity.","[[('Liberal Arts', 'ORG'), (""St. John's"", 'GPE'), ('Santa Fe', 'GPE'), ('New Mexico', 'GPE'), ('GenBank', 'ORG'), ('Los Alamos National Laboratory', 'ORG'), ('1982-85', 'DATE')], [('a number of years', 'DATE'), ('UC Berkeley', 'ORG')], [('Walter J. Freeman', 'PERSON'), ('PhD', 'WORK_OF_ART'), ('Biophysics', 'GPE'), ('1995', 'DATE')], [('Gilles Laurent', 'ORG'), ('the California Institute of Technology', 'ORG')], [('The University of Chicago', 'ORG'), ('2000', 'DATE')]]",The University of Chicago
David Gutherz,https://urldefense.com/v3/__https:/www.npr.org/podcasts/510307/invisibilia__;!!BpyFHLRN4TMTrA!qaO0rCiKUcovPSEj74NlIF1AAzHyTiS41FNx4hAOCT99mhG0JQqUA1MhYcbM55lmzA$,https://socialsciences.uchicago.edu/directory/david-gutherz,"David Max Gutherz was born on Kibbutz Gezer and spent most of his youth in Lynchburg, Virginia. After studying the philosophy of religion at Oberlin College, David received his MA and PhD at the Committee on Social Thought. He is interested in historicizing the cultural, scientific, and affective practices that make authoritarianism seem reasonable and is currently working on a book entitled, The Great Unbinding: Fascism and the Italian Origins of a Global New Left, which is based on the dissertation he submitted in 2019. In addition to publishing scholarly essays, David has also collaborated on a number of podcasts, mostly for NPR's Invisibilia and the New Books Network, and translated works by Ernesto de Martino, Elvio Fachinelli, and the DEMAU collective.","[[('David Max Gutherz', 'PERSON'), ('Kibbutz Gezer', 'PERSON'), ('Lynchburg', 'GPE'), ('Virginia', 'GPE')], [('Oberlin College', 'ORG'), ('David', 'PERSON'), ('MA', 'PERSON'), ('PhD', 'WORK_OF_ART'), ('the Committee on Social Thought', 'ORG')], [('Italian', 'NORP'), ('2019', 'DATE')], [('David', 'PERSON'), ('NPR', 'ORG'), ('Invisibilia', 'ORG'), ('the New Books Network', 'ORG'), ('Ernesto de Martino', 'PERSON'), ('Elvio Fachinelli', 'PERSON'), ('DEMAU', 'ORG')]]",DEMAU
Joel Isaac,https://socialthought.uchicago.edu/directory/joel-isaac,https://socialsciences.uchicago.edu/directory/joel-isaac,"I am an historian of modern social and political thought.  I focus in particular on American and British traditions of social thought. My earliest research examined how theories of knowledge drove important changes in the human sciences during the twentieth century. Much of this work found its way into my first book, Working Knowledge: Making the Human Sciences from Parsons to Kuhn (Cambridge, MA: Harvard University Press, 2012), which was awarded the Gladstone Prize by the Royal Historical Society, UK.","[[], [('American', 'NORP'), ('British', 'NORP')], [('the twentieth century', 'DATE')], [('first', 'ORDINAL'), ('Working Knowledge: Making the Human Sciences from Parsons to Kuhn (Cambridge', 'WORK_OF_ART'), ('Harvard University Press', 'ORG'), ('2012', 'DATE'), ('the Gladstone Prize', 'WORK_OF_ART'), ('the Royal Historical Society', 'ORG'), ('UK', 'GPE')]]",the Royal Historical Society
Benjamin Jeffery,http://www.wordofbenjeffery.com/,https://socialsciences.uchicago.edu/directory/benjamin-jeffery,Still Working on This,[[]],University of California
Jonathan Lear,https://socialthought.uchicago.edu/directory/jonathan-lear,https://socialsciences.uchicago.edu/directory/jonathan-lear,"Jonathan Lear is the John U. Nef Distinguished Service Professor at the Committee on Social Thought and in the Department of Philosophy. His work focuses on the philosophical understanding of the human psyche—and the ethical implications that flow from us being the kind of creatures we are. He trained in Philosophy at Cambridge University and The Rockefeller University where he received his PhD in 1978. He works primarily on philosophical conceptions of the human psyche from Socrates to the present. He also trained as a psychoanalyst at the Western New England Institute for Psychoanalysis. His books include: Radical Hope: Ethics in the Face of Cultural Devastation (2006); Aristotle and Logical Theory (1980); Aristotle: The Desire to Understand (1988); Love and Its Place in Nature: A Philosophical Interpretation of Freudian Psychoanalysis (1990); Open Minded: Working out the Logic of the Soul (1998); Happiness, Death and the Remainder of Life (2000); Therapeutic Action: An Earnest Plea for Irony (2003); A Case for Irony (2011); and Freud (2015); His most recent book is Wisdom Won From Illness: Essays in Philosophy and Psychoanalysis (Harvard University Press, 2017). He is a recipient of the Andrew W. Mellon Foundation Distinguished Achievement Award. In 2014, he was appointed the Roman Family Director of the Neubauer Collegium for Culture and Society and continues in that role currently. He is a Fellow of the American Academy of Arts and Sciences and a member of the American Philosophical Society.","[[('Jonathan Lear', 'PERSON'), ('the Committee on Social Thought', 'ORG'), ('the Department of Philosophy', 'ORG')], [], [('Cambridge University', 'ORG'), ('The Rockefeller University', 'ORG'), ('PhD', 'WORK_OF_ART'), ('1978', 'DATE')], [('Socrates', 'ORG')], [('the Western New England Institute for Psychoanalysis', 'ORG')], [('2006', 'DATE'), ('Aristotle', 'PERSON'), ('1980', 'DATE')], [('1988', 'DATE')], [('1990', 'DATE')], [], [('1998', 'DATE'), ('2000', 'DATE'), ('2003', 'DATE'), ('2011', 'DATE'), ('Freud', 'PERSON'), ('2015', 'DATE'), ('Wisdom Won From Illness: Essays in Philosophy and Psychoanalysis', 'ORG'), ('Harvard University Press', 'ORG'), ('2017', 'DATE')], [('the Andrew W. Mellon Foundation', 'ORG')], [('2014', 'DATE'), ('Roman', 'NORP'), ('the Neubauer Collegium for Culture and Society', 'ORG')], [('the American Academy of Arts and Sciences', 'ORG'), ('the American Philosophical Society', 'ORG')]]",the American Philosophical Society
Eliza Little,https://socialthought.uchicago.edu/directory/eliza-starbuck-little,https://socialsciences.uchicago.edu/directory/eliza-little,"In 2020-1, Eliza Starbuck Little is a Postdoctoral Teaching Fellow in the Division of Social Sciences and The Committee on Social Thought. She received her PhD from Social Thought in 2020, with a specialization in philosophy.","[[('2020-1', 'DATE'), ('Eliza Starbuck Little', 'ORG'), ('the Division of Social Sciences', 'ORG'), ('The Committee on Social Thought', 'ORG')], [('PhD', 'WORK_OF_ART'), ('Social Thought', 'ORG'), ('2020', 'DATE')]]",Social Thought
David Nirenberg,https://history.uchicago.edu/directory/david-nirenberg,https://socialsciences.uchicago.edu/directory/david-nirenberg,Princeton University,"[[('Princeton University', 'ORG')]]",Princeton University
Thomas Pavel,https://socialthought.uchicago.edu/directory/thomas-pavel,https://socialsciences.uchicago.edu/directory/thomas-pavel,"Fictional Worlds, Cambridge, MA: Harvard University Press, 1986.  French translation, Univers de la fiction, Paris: Editions du Seuil, coll. ""Poétique"", 1988.  Italian edition, Milan: Einaudi, 1992, Romanian translation, Bucarest, 1994, Spanish translation, Caracas, 1996.","[[('Cambridge', 'GPE'), ('MA', 'GPE'), ('Harvard University Press', 'ORG'), ('1986', 'DATE')], [('French', 'NORP'), ('Paris', 'GPE')], [('Poétique', 'PERSON'), ('1988', 'DATE')], [('Italian', 'NORP'), ('Milan', 'GPE'), ('Einaudi, 1992', 'DATE'), ('Romanian', 'NORP'), ('Bucarest', 'ORG'), ('1994', 'DATE'), ('Spanish', 'NORP'), ('Caracas', 'GPE'), ('1996', 'DATE')]]",Bucarest
Mark Payne,https://socialthought.uchicago.edu/directory/mark-payne,https://socialsciences.uchicago.edu/directory/mark-payne,Still Working on This,[[]],University of California
Robert B. Pippin,https://socialthought.uchicago.edu/directory/robert-b-pippin,https://socialsciences.uchicago.edu/directory/robert-b-pippin,Still Working on This,[[]],University of California
Neil Brenner,https://sociology.uchicago.edu/directory/neil-brenner,https://socialsciences.uchicago.edu/directory/neil-brenner,University of Chicago,"[[('University of Chicago', 'ORG')]]",University of Chicago
Terry N. Clark,https://sociology.uchicago.edu/directory/terry-n-clark,https://socialsciences.uchicago.edu/directory/terry-n-clark,Columbia University,"[[('Columbia University', 'ORG')]]",Columbia University
Elisabeth S. Clemens,https://sociology.uchicago.edu/directory/elisabeth-s-clemens,https://socialsciences.uchicago.edu/directory/elisabeth-s-clemens,University of Chicago,"[[('University of Chicago', 'ORG')]]",University of Chicago
Rene Flores,https://sociology.uchicago.edu/directory/ren%C3%A9-d-flores,https://socialsciences.uchicago.edu/directory/rene-flores,Princeton University,"[[('Princeton University', 'ORG')]]",Princeton University
Rachel Glennerster,https://rglennerster.ssd.uchicago.edu/,https://socialsciences.uchicago.edu/directory/rachel-glennerster,"Glennerster helped establish Deworm the World, which has helped deworm 23 million children worldwide. She previously worked at the IMF and Her Majesty's Treasury. She has a PhD in Economics from Birkbeck College, University of London, and is coauthor of Strong Medicine: Creating Incentives for Pharmaceutical Research on Neglected Diseases and Running Randomized Evaluations: A Practical Guide.","[[('Deworm the World', 'ORG'), ('23 million', 'CARDINAL')], [('Treasury', 'ORG')], [('PhD', 'WORK_OF_ART'), ('Birkbeck College, University of London', 'ORG')]]","Birkbeck College, University of London"
Gary B. Herrigel,https://political-science.uchicago.edu/directory/gary-herrigel,https://socialsciences.uchicago.edu/directory/gary-b-herrigel,Still Working on This,[[]],University of California
Emily Talen,https://urbanism.uchicago.edu/,https://socialsciences.uchicago.edu/directory/emily-talen,Still Working on This,[[]],University of California
Robert  Dreeben,No Link,https://socialsciences.uchicago.edu/directory/robert-dreeben,Still Working on This,[[]],University of California
Irene Elkin,https://ssa.uchicago.edu/irene-elkin,https://socialsciences.uchicago.edu/directory/irene-elkin,Still Working on This,[[]],University of California
Edgar G. Epps,No Link,https://socialsciences.uchicago.edu/directory/edgar-g-epps,Still Working on This,[[]],University of California
Emily Osborn,https://history.uchicago.edu/directory/emily-lynn-osborn,https://socialsciences.uchicago.edu/directory/emily-osborn,Stanford University,"[[('Stanford University', 'ORG')]]",Stanford University
Paul Poast,https://voices.uchicago.edu/socscisummermethods,https://socialsciences.uchicago.edu/directory/paul-poast,Still Working on This,[[]],University of California
Jenny Trinitapoli,https://sociology.uchicago.edu/directory/jenny-trinitapoli,https://socialsciences.uchicago.edu/directory/jenny-trinitapoli,University of Texas,"[[('University of Texas', 'ORG')]]",University of Texas
Brodwyn M. Fischer,https://history.uchicago.edu/directory/brodwyn-fischer,https://socialsciences.uchicago.edu/directory/brodwyn-m-fischer,Harvard University,"[[('Harvard University', 'ORG')]]",Harvard University
James Heckman,https://economics.uchicago.edu/directory/james-j-heckman,https://socialsciences.uchicago.edu/directory/james-heckman,Princeton University,"[[('Princeton University', 'ORG')]]",Princeton University
Alan  Kolata,https://anthropology.uchicago.edu/people/faculty/alan-kolata,https://socialsciences.uchicago.edu/directory/alan-kolata,"(PhD, Harvard, 1978) Bernard E. and Ellen C. Sunny Distinguished Service Professor of Anthropology and of Social Sciences in the College","[[('PhD', 'WORK_OF_ART'), ('Harvard', 'ORG'), ('1978', 'DATE')], [('Bernard E.', 'PERSON'), ('Ellen C.', 'PERSON')], [('Social Sciences', 'ORG')]]",Social Sciences
Stephan Palmié,https://anthropology.uchicago.edu/people/faculty/stephan-palmie,https://socialsciences.uchicago.edu/directory/stephan-palmie,Still Working on This,[[]],University of California
Thomas Holt,https://history.uchicago.edu/directory/thomas-c-holt,https://socialsciences.uchicago.edu/directory/thomas-holt,Yale University,"[[('Yale University', 'ORG')]]",Yale University
Amy Dru Stanley,https://history.uchicago.edu/directory/amy-dru-stanley,https://socialsciences.uchicago.edu/directory/amy-dru-stanley,Yale University,"[[('Yale University', 'ORG')]]",Yale University
Lisa Wedeen,https://political-science.uchicago.edu/directory/lisa-wedeen,https://socialsciences.uchicago.edu/directory/lisa-wedeen,D California,"[[('California', 'GPE')]]",University of California
Deirdre Lyons,https://history.uchicago.edu/directory/deirdre-lyons,https://socialsciences.uchicago.edu/directory/deirdre-lyons,"Dr. Deirdre Lyons is a historian working on slavery and its afterlives in the Caribbean. Specializing in the French Antilles, her work examines how gender, race, and family shaped slavery, abolition, and emancipation over the course of the nineteenth century. Drawing on two years of archival research in France, Martinique, and Guadeloupe, her current book project analyzes slavery and abolition in the French Antilles. Dr. Lyons received her PhD in History from the University of Chicago, where she continues to teach courses that familiarize students with critical race and gender studies, the history of colonization and decolonization in the Atlantic world, slavery and its afterlives in the Americas, and social theory. She is currently working on her manuscript and preparing an article on enslaved women’s freedom suits in early-nineteenth-century Martinique and Guadeloupe.","[[('Deirdre Lyons', 'PERSON'), ('Caribbean', 'LOC')], [('French', 'NORP'), ('Antilles', 'PRODUCT'), ('the nineteenth century', 'DATE')], [('two years', 'DATE'), ('France', 'GPE'), ('Martinique', 'GPE'), ('Guadeloupe', 'PERSON'), ('French', 'NORP'), ('Antilles', 'PRODUCT')], [('Lyons', 'PERSON'), ('PhD', 'WORK_OF_ART'), ('History', 'GPE'), ('the University of Chicago', 'ORG'), ('Atlantic', 'LOC'), ('Americas', 'LOC')], [('Martinique', 'GPE'), ('Guadeloupe', 'GPE')]]",the University of Chicago
